1766596492;temp01;Temperature Sensor;10;OK
1766596607;temp01;Temperature Sensor;10;OK
1766596656;temp01;Temperature Sensor;10;OK
1766596718;temp01;Temperature Sensor;10;OK
1766596737;temp01;Temperature Sensor;1;OK
1766596742;temp01;Temperature Sensor;10;OK
1766596788;temp01;Temperature Sensor;1;OK
1766596793;temp01;Temperature Sensor;10;OK
1766596854;temp01;Temperature Sensor;10;OK
1766596870;temp01;Temperature Sensor;10;OK
1766597889;temp01;Temperature Sensor;1;OK
1766597901;temp01;Temperature Sensor;1;OK
1766599620;temp01;Temperature Sensor;1;OK
1766599765;temp01;Temperature Sensor;1;OK
1766599843;temp01;Temperature Sensor;1;OK
1766599887;temp01;Temperature Sensor;1;OK
1766599908;temp01;Temperature Sensor;1;OK
1766599976;temp01;Temperature Sensor;1;OK
1766600157;temp01;Temperature Sensor;1;OK
1766600355;temp01;Temperature Sensor;1;OK
1766600500;temp01;Temperature Sensor;1;OK
1766600781;temp01;Temperature Sensor;50.0965;OK
1766600782;temp01;Temperature Sensor;49.9783;OK
1766600783;temp01;Temperature Sensor;49.8552;OK
1766600786;temp01;Temperature Sensor;49.7315;OK
1766600788;temp01;Temperature Sensor;49.4989;OK
1766600790;temp01;Temperature Sensor;49.3285;OK
1766601508;temp01;Temperature Sensor;49.9892;OK
1766601509;temp01;Temperature Sensor;50.1008;OK
1766601510;temp01;Temperature Sensor;49.9854;OK
1766601511;temp01;Temperature Sensor;49.8251;OK
1766601512;temp01;Temperature Sensor;49.6437;OK
1766601515;temp01;Temperature Sensor;49.4431;OK
1766602385;temp01;Temperature Sensor;49.994;OK
1766602387;temp01;Temperature Sensor;49.88;OK
1766602388;temp01;Temperature Sensor;50.0745;OK
1766602390;temp01;Temperature Sensor;50.2447;OK
1766602391;temp01;Temperature Sensor;50.3553;OK
1766602392;temp01;Temperature Sensor;50.2346;OK
1766602394;temp01;Temperature Sensor;50.0808;OK
